wavelength (nm),irradiance (W/m^2/nm),
255.6,0.078682996,
255.7,0.080332726,
255.8,0.081744359,
255.9,0.083021788,
256,0.084312985,
256.1,0.085795172,
256.2,0.08764814,
256.3,0.090019391,
256.4,0.092987122,
256.5,0.096528783,
256.6,0.100512968,
256.7,0.104710074,
256.8,0.1088314,
256.9,0.112582584,
257,0.115722074,
257.1,0.118113176,
257.2,0.119756482,
257.3,0.120791579,
257.4,0.121464576,
257.5,0.122063633,
257.6,0.122833559,
257.7,0.123898888,
257.8,0.1252164,
257.9,0.126583265,
258,0.127700745,
258.1,0.128275265,
258.2,0.128122219,
258.3,0.127231166,
258.4,0.125766733,
258.5,0.12400385,
258.6,0.122222354,
258.7,0.120602786,
258.8,0.119161391,
258.9,0.117752056,
259,0.116125964,
259.1,0.114026197,
259.2,0.111280398,
259.3,0.10786331,
259.4,0.103911734,
259.5,0.099697885,
259.6,0.095569065,
259.7,0.091876146,
259.8,0.088901312,
259.9,0.086800227,
260,0.085570593,
260.1,0.085056646,
260.2,0.08498854,
260.3,0.08505258,
260.4,0.084968219,
260.5,0.084556066,
260.6,0.083767547,
260.7,0.082682267,
260.8,0.081473124,
260.9,0.080359031,
261,0.079558893,
261.1,0.079258755,
261.2,0.079590393,
261.3,0.080620685,
261.4,0.082347582,
261.5,0.084699481,
261.6,0.087542339,
261.7,0.090689731,
261.8,0.093919006,
261.9,0.09698996,
262,0.099665235,
262.1,0.101733032,
262.2,0.103034059,
262.3,0.103493727,
262.4,0.103152278,
262.5,0.102191481,
262.6,0.100943024,
262.7,0.099879314,
262.8,0.099576629,
262.9,0.100654505,
263,0.103695078,
263.1,0.109155445,
263.2,0.117286044,
263.3,0.128070637,
263.4,0.141206231,
263.5,0.15612401,
263.6,0.172053848,
263.7,0.18811685,
263.8,0.203423034,
263.9,0.21716304,
264,0.228674141,
264.1,0.237486358,
264.2,0.243352914,
264.3,0.24627241,
264.4,0.24650623,
264.5,0.244577123,
264.6,0.241232657,
264.7,0.237368629,
264.8,0.233905134,
264.9,0.231642211,
265,0.231126895,
265.1,0.232559259,
265.2,0.235770541,
265.3,0.240275626,
265.4,0.245381018,
265.5,0.250329137,
265.6,0.254440343,
265.7,0.25722041,
265.8,0.25842314,
265.9,0.258059042,
266,0.25635818,
266.1,0.253702856,
266.2,0.25054982,
266.3,0.247352215,
266.4,0.244500465,
266.5,0.242281701,
266.6,0.240866481,
266.7,0.240315689,
266.8,0.240599452,
266.9,0.241616027,
267,0.243206751,
267.1,0.245163582,
267.2,0.247233687,
267.3,0.249136988,
267.4,0.250599613,
267.5,0.251402099,
267.6,0.251434938,
267.7,0.250728072,
267.8,0.249452061,
267.9,0.247872126,
268,0.24627194,
268.1,0.244876832,
268.2,0.243798385,
268.3,0.243017929,
268.4,0.242419521,
268.5,0.241845581,
268.6,0.241161014,
268.7,0.240299564,
268.8,0.239276955,
268.9,0.238183283,
269,0.237150504,
269.1,0.236321932,
269.2,0.235839186,
269.3,0.235836688,
269.4,0.236448493,
269.5,0.237807736,
269.6,0.240020736,
269.7,0.243127746,
269.8,0.247058012,
269.9,0.251599893,
270,0.256405106,
270.1,0.261035784,
270.2,0.265039511,
270.3,0.268031449,
270.4,0.269763631,
270.5,0.270156202,
270.6,0.269287448,
270.7,0.267346003,
270.8,0.264556155,
270.9,0.261102731,
271,0.257077574,
271.1,0.252463281,
271.2,0.247158427,
271.3,0.24103825,
271.4,0.234035142,
271.5,0.226211195,
271.6,0.217803807,
271.7,0.209234412,
271.8,0.201067977,
271.9,0.193935621,
272,0.18843605,
272.1,0.185039003,
272.2,0.184005664,
272.3,0.18535059,
272.4,0.188837403,
272.5,0.194002168,
272.6,0.200202861,
